businessID,category
Ece_DRuD1yQjRPJBAebRpw,chinese
pBNMZp_tKCAfRNx7-ybcHQ,chinese
0vg2Z-HPwkyVVX613j2ysg,chinese
C3tP0fNNAoxOAC3O406CXQ,chinese
A-ert0jDRBfku9ogyW_mEg,chinese
gvOe1TLb8hZgx0naC9LYpw,chinese
nI1UYDCYUTt23TpGxqnLKg,chinese
uaFHoq-a5XqxF-bsOK9_Qg,chinese
mUl0wtO7tPkBocuJqZ-7Dw,chinese
HScFap2SwbUlfC-QXVkxFA,chinese
2J3--ZI6CcoYLWSYYVdt7Q,chinese
BPErPpKSNluwcjbKRgze3w,chinese
oe8GEFE4QLFAKt87y7zcgA,chinese
f_vDVYSk-VUnlGTvgtBwkQ,chinese
Qwd4Tv-CqgO2Yl9zZgkKOQ,chinese
WRPJeH3goSpj5ke3Pkrnfw,chinese
kwqOmEwWJ0D9PyCdFGE3-g,chinese
lQ8Fzgji9qmgRXkFcvAsVQ,chinese
gcEMZjjqy5Ucnv_5Pv-q1g,chinese
shwaY4v3fx9tjalvHVIBxQ,chinese
H1jops1lmuhrq9lP7lEGJQ,chinese
Vzx-7-jSEBz2g8NuGVhHvQ,chinese
SMrj71bWo1lomSbU8wXgyw,chinese
1dFOF1HPaThSCsdiqR7DrA,chinese
l1nX-f46dmOEmYPoiuLSaw,chinese
g512kssHLLTdDbUJHTmJFw,chinese
xm_-5QZFzJidiUO--PgOYg,chinese
olRNNJCJ2TJvPRmjBiOcGA,chinese
s25mujxKWphsyFm0Ji1xYA,chinese
8plXW6ZQI1awPu1scms3jQ,chinese
0d9H27ztGyGHMENp2afAqA,chinese
0cQcKV7eCOhw7OnflOzr9w,chinese
s0Klxfd2XRZSrATjzEimBg,chinese
VbFYau70iG_s6UNFwYtGVQ,chinese
MxdsqhU-Qq34WAl5qL4wsQ,chinese
_lx7nuvXU7LhDRL3a9TMAw,chinese
pPqEu60FMffpiWqk2MCrVA,chinese
Va_mnsEvBghHXvc7uZIWJQ,chinese
IhSVn0TaX8xXb3wcQ-fgcA,chinese
CesS-E8Q3ztX6VnkXO6wBg,chinese
56rTisZA_iEekMsyZHvSHQ,chinese
ePVlFbTzdVQFWie__kdplg,chinese
gNGxh97n0NZgYG1Q_no9Kg,chinese
