businessID,name,address,coordinates,numberOfReviews,rating,zipCode,category
Ece_DRuD1yQjRPJBAebRpw,Kung Fu Little Steamed Buns Ramen,"146 E 55th St, New York, NY 10022","40.7592514705491, -73.9694294705987",390,3.5,10022,chinese
pBNMZp_tKCAfRNx7-ybcHQ,Calle Dao Chelsea,"461 W 23rd St, New York, NY 10011","40.74765439999999, -74.00352547055276",1042,4.5,10011,chinese
0vg2Z-HPwkyVVX613j2ysg,Peng's Noodle Folk,"1016 Lexington Ave, New York, NY 10021","40.7711335538802, -73.9620354269869",561,4.5,10021,chinese
C3tP0fNNAoxOAC3O406CXQ,Le Sia,"651 9th Ave, New York, NY 10036","40.76072, -73.99119",136,4.5,10036,chinese
A-ert0jDRBfku9ogyW_mEg,Spice Symphony,"150 E 50th St, New York, NY 10022","40.7558937072754, -73.9715347290039",653,4.5,10022,chinese
gvOe1TLb8hZgx0naC9LYpw,Sei Less,"156 W 38th St, New York, NY 10018","40.75314, -73.98814",267,4.0,10018,chinese
nI1UYDCYUTt23TpGxqnLKg,Buddakan,"75 9th Ave, New York, NY 10011","40.7422762672197, -74.0048000961542",4563,4.0,10011,chinese
uaFHoq-a5XqxF-bsOK9_Qg,Real Kung Fu Little Steamed Buns Ramen,"811 8th Ave, New York, NY 10019","40.7616286634162, -73.98688",1152,4.0,10019,chinese
mUl0wtO7tPkBocuJqZ-7Dw,Dun Huang -  Grand Central,"320 Lexington Ave, New York, NY 10016","40.74922, -73.97785",323,4.5,10016,chinese
HScFap2SwbUlfC-QXVkxFA,Xi'an Famous Foods,"37 W 43rd, New York, NY 10036","40.755136, -73.982194",1691,4.0,10036,chinese
2J3--ZI6CcoYLWSYYVdt7Q,Milu,"333 Park Ave S, New York, NY 10010","40.741084, -73.985324",215,4.5,10010,chinese
BPErPpKSNluwcjbKRgze3w,Xi'an Famous Foods,"328 E 78th St, New York, NY 10075","40.77197, -73.95452",677,4.0,10075,chinese
oe8GEFE4QLFAKt87y7zcgA,Very Fresh Noodles,"409 W 15th St, New York, NY 10011","40.74207, -74.00565",1451,4.5,10011,chinese
f_vDVYSk-VUnlGTvgtBwkQ,Noodlecraft,"10 39 47th Rd, Queens, NY 11101","40.74471, -73.95182",160,4.5,11101,chinese
Qwd4Tv-CqgO2Yl9zZgkKOQ,Shun Lee Palace,"155 E 55th St, New York, NY 10022","40.75945, -73.96907",339,3.0,10022,chinese
WRPJeH3goSpj5ke3Pkrnfw,Burp Bowl Cafe,"134 E 27th St, New York, NY 10010","40.74183, -73.98271",295,4.5,10010,chinese
